Video,mos_j,sos_j,ref,name,bitladder,resolution,bitrate,orientation,framerate,content_name,height,width
ad8affdd94b3c44ae83169fb668ea5c6,12.863745908842652,3.640336919742289,0,360p_0.2M_#797505232_114_52_62.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,797505232_114_52_62.mp4,360,640
1fce15b5761a5297027be6045cff27ee,13.88279640004314,3.0762247678569565,0,360p_0.2M_#678888449_14_2_12.mp4,360p_0.2M_,360p,0.2M,Landscape,29.38,678888449_14_2_12.mp4,360,640
99a583a0f32b990223fccb3b86c7aae8,14.991609755939924,2.7384415904966235,0,1080p_0.5M_#797505232_114_52_62.mp4,1080p_0.5M_,1080p,0.5M,Landscape,30.0,797505232_114_52_62.mp4,1080,1920
0070e798e379c81f7879be388655c7cd,16.284911425262614,3.3033014615883336,0,720p_0.5M_#797505232_114_52_62.mp4,720p_0.5M_,720p,0.5M,Landscape,30.0,797505232_114_52_62.mp4,720,1280
0301414dea5d0ed8c633f85f37d3dee2,19.477501699349205,3.2089614036022573,0,360p_0.2M_#820833145_123_56_66.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,820833145_123_56_66.mp4,360,640
60b817e8dbc06a5178153dc221509bd2,20.046025935646902,2.6582730598584754,0,360p_0.2M_#wildstyle_11_0_10.mp4,360p_0.2M_,360p,0.2M,Landscape,60.0,wildstyle_11_0_10.mp4,360,640
1e2e6f5e449e2a115958063c9a8134f3,20.630759843062805,3.388363140385639,0,1080p_0.5M_#678888449_14_2_12.mp4,1080p_0.5M_,1080p,0.5M,Landscape,29.38,678888449_14_2_12.mp4,1080,1920
d3ce4bcc81eb130928c87bd14e8d29e7,20.79064790949432,3.5847962639956887,0,360p_0.2M_#805744375_22_6_16.mp4,360p_0.2M_,360p,0.2M,Landscape,29.97,805744375_22_6_16.mp4,360,640
4dc3de367cfb67cc960b6d25133212fb,20.87943825213901,3.532398335527339,0,360p_0.2M_#824247580_126_58_68.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,824247580_126_58_68.mp4,360,640
1247c276b1aedc67bb4c15e67ba02039,21.0283755080837,3.8540448436999695,0,360p_0.2M_#752645824_111_50_60.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,752645824_111_50_60.mp4,360,640
498cc04cc8441382c278ee488b24049f,21.666253664589536,3.2698828574213907,0,360p_0.2M_#776696034_61_25_35.mp4,360p_0.2M_,360p,0.2M,Landscape,28.934,776696034_61_25_35.mp4,360,640
1cc6aac616c04989baff5af25fa1c7d5,22.373167459780547,2.683514982191583,0,360p_0.2M_#769014351_197_93_103.mp4,360p_0.2M_,360p,0.2M,Portrait,24.0,769014351_197_93_103.mp4,640,360
d983501a4dcbba8e49d0d5cf39b4553a,22.55434135051484,2.3293171003512163,0,1080p_0.5M_#769014351_197_93_103.mp4,1080p_0.5M_,1080p,0.5M,Portrait,24.0,769014351_197_93_103.mp4,1920,1080
bda52811f03beee349c20e0eef642511,22.682400870830328,2.6450225679638484,0,360p_0.2M_#871841678_13_1_11.mp4,360p_0.2M_,360p,0.2M,Portrait,29.97,871841678_13_1_11.mp4,640,360
1e4a61204a50569063d8586b0907065b,23.546163491362613,2.907859808470103,0,360p_0.2M_#883107398_30_10_20.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,883107398_30_10_20.mp4,360,640
78c5992278e98e23ca79964c82c4282a,24.067319365013613,2.8397937004880256,0,360p_0.2M_#886386682_12_1_11.mp4,360p_0.2M_,360p,0.2M,Portrait,29.97,886386682_12_1_11.mp4,640,360
3dd15c55f8d689ace1eb4d678ac5e95c,24.116565719723912,2.693667862270507,0,360p_0.2M_#770047005_303_146_156.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,770047005_303_146_156.mp4,640,360
969a3d725732d44a8a816c1d61ad2cab,24.18410080393128,2.937053340442989,0,1080p_0.5M_#805744375_22_6_16.mp4,1080p_0.5M_,1080p,0.5M,Landscape,29.97,805744375_22_6_16.mp4,1080,1920
add52f09e034f5ae615fa5fd66cf8cca,24.277615617730824,2.876812341036936,0,1080p_0.5M_#776696034_61_25_35.mp4,1080p_0.5M_,1080p,0.5M,Landscape,28.934,776696034_61_25_35.mp4,1080,1920
a2d72e88715e435cffb6674877114e82,24.620895357866008,2.9648736718587743,0,360p_0.2M_#869940587_37_13_23.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,869940587_37_13_23.mp4,640,360
45e9e83371804aa28acdf84d8acc9f24,24.625906270213143,2.9003116980359724,0,360p_0.2M_#753252427_646_318_328.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,753252427_646_318_328.mp4,360,640
6aa3f6996b3f584354c20620f9f910f8,24.64313143925204,3.3178601869521853,0,360p_0.2M_#769409578_58_24_34.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,769409578_58_24_34.mp4,640,360
